"race";"opioid_type";"abbrev";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"total";"natural_opioid";"US";1;1;3;1;   4;  10;10001;       0.0362964;       0.0250000
"total";"natural_opioid";"US";2;1;2;2;   2;  12;10001;       0.0183982;       0.0250000
"total";"opioid";"AL";0;0;3;3;   6;  10;10001;       0.0007999;       0.0166667
"total";"opioid";"AL";1;1;3;3;   4;  10;10001;       0.0010999;       0.0250000
"total";"opioid";"AL";2;2;3;2;   2;  10;10001;       0.2031797;       0.0500000
"total";"opioid";"AK";0;0;3;3;   6;  10;10001;       0.0053995;       0.0166667
"total";"opioid";"AK";1;1;3;3;   4;  10;10001;       0.0017998;       0.0250000
"total";"opioid";"AK";2;2;3;2;   2;  10;10001;       0.4530547;       0.0500000
"total";"opioid";"AZ";0;0;3;3;   6;  10;10001;       0.0003000;       0.0166667
"total";"opioid";"AZ";1;1;3;3;   4;  10;10001;       0.0004000;       0.0250000
"total";"opioid";"AZ";2;2;3;2;   2;  10;10001;       0.8874113;       0.0500000
"total";"opioid";"AR";0;0;3;3;   6;  10;10001;       0.0006999;       0.0166667
"total";"opioid";"AR";1;1;3;1;   4;  10;10001;       0.0931907;       0.0250000
"total";"opioid";"AR";2;1;2;1;   2;  12;10001;       0.0411959;       0.0250000
"total";"opioid";"CA";0;0;3;0;   6;  10;10001;       0.4082592;       0.0166667
"total";"opioid";"CA";1;0;2;0;   4;  12;10001;       0.3241676;       0.0166667
"total";"opioid";"CA";2;0;1;0;   2;  14;10001;       0.5338466;       0.0166667
"total";"opioid";"CO";0;0;3;0;   6;  10;10001;       0.0657934;       0.0166667
"total";"opioid";"CO";1;0;2;0;   4;  12;10001;       0.0718928;       0.0166667
"total";"opioid";"CO";2;0;1;0;   2;  14;10001;       0.0389961;       0.0166667
"total";"opioid";"CT";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"CT";1;1;3;1;   4;  10;10001;       0.3294671;       0.0250000
"total";"opioid";"CT";2;1;2;1;   2;  12;10001;       0.3268673;       0.0250000
"total";"opioid";"DE";0;0;3;3;   6;  10;10001;       0.0125987;       0.0166667
"total";"opioid";"DE";1;1;3;3;   4;  10;10001;       0.0075992;       0.0250000
"total";"opioid";"DE";2;2;3;2;   2;  10;10001;       0.1222878;       0.0500000
"total";"opioid";"DC";0;0;3;3;   6;  10;10001;       0.0003000;       0.0166667
"total";"opioid";"DC";1;1;3;1;   4;  10;10001;       0.0735926;       0.0250000
"total";"opioid";"DC";2;1;2;1;   2;  12;10001;       0.4027597;       0.0250000
"total";"opioid";"FL";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"FL";1;1;3;3;   4;  10;10001;       0.0001000;       0.0250000
"total";"opioid";"FL";2;2;3;3;   2;  10;10001;       0.0006999;       0.0500000
"total";"opioid";"GA";0;0;3;3;   6;  10;10001;       0.0010999;       0.0166667
"total";"opioid";"GA";1;1;3;3;   4;  10;10001;       0.0037996;       0.0250000
"total";"opioid";"GA";2;2;3;3;   2;  10;10001;       0.0009999;       0.0500000
"total";"opioid";"HI";0;0;3;0;   6;  10;10001;       0.0301970;       0.0166667
"total";"opioid";"HI";1;0;2;0;   4;  12;10001;       0.0275972;       0.0166667
"total";"opioid";"HI";2;0;1;1;   2;  14;10001;       0.0052995;       0.0166667
"total";"opioid";"ID";0;0;3;0;   6;  10;10001;       0.0767923;       0.0166667
"total";"opioid";"ID";1;0;2;0;   4;  12;10001;       0.0504950;       0.0166667
"total";"opioid";"ID";2;0;1;0;   2;  14;10001;       0.1800820;       0.0166667
"total";"opioid";"IL";0;0;3;0;   6;  10;10001;       0.0181982;       0.0166667
"total";"opioid";"IL";1;0;2;0;   4;  12;10001;       0.0215978;       0.0166667
"total";"opioid";"IL";2;0;1;1;   2;  14;10001;       0.0061994;       0.0166667
"total";"opioid";"IN";0;0;3;3;   6;  10;10001;       0.0015998;       0.0166667
"total";"opioid";"IN";1;1;3;3;   4;  10;10001;       0.0034997;       0.0250000
"total";"opioid";"IN";2;2;3;2;   2;  10;10001;       0.7538246;       0.0500000
"total";"opioid";"IA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"IA";1;1;3;3;   4;  10;10001;       0.0165983;       0.0250000
"total";"opioid";"IA";2;2;3;2;   2;  10;10001;       0.1428857;       0.0500000
"total";"opioid";"KS";0;0;3;3;   6;  10;10001;       0.0106989;       0.0166667
"total";"opioid";"KS";1;1;3;1;   4;  10;10001;       0.4426557;       0.0250000
"total";"opioid";"KS";2;1;2;1;   2;  12;10001;       0.7131287;       0.0250000
"total";"opioid";"KY";0;0;3;3;   6;  10;10001;       0.0036996;       0.0166667
"total";"opioid";"KY";1;1;3;1;   4;  10;10001;       0.0624938;       0.0250000
"total";"opioid";"KY";2;1;2;1;   2;  12;10001;       0.2602740;       0.0250000
"total";"opioid";"LA";0;0;3;3;   6;  10;10001;       0.0004000;       0.0166667
"total";"opioid";"LA";1;1;3;3;   4;  10;10001;       0.0006999;       0.0250000
"total";"opioid";"LA";2;2;3;2;   2;  10;10001;       0.2768723;       0.0500000
"total";"opioid";"ME";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"ME";1;1;3;3;   4;  10;10001;       0.0001000;       0.0250000
"total";"opioid";"ME";2;2;3;2;   2;  10;10001;       0.0751925;       0.0500000
"total";"opioid";"MD";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"MD";1;1;3;1;   4;  10;10001;       0.1077892;       0.0250000
"total";"opioid";"MD";2;1;2;1;   2;  12;10001;       0.0416958;       0.0250000
"total";"opioid";"MA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"MA";1;1;3;1;   4;  10;10001;       0.0395960;       0.0250000
"total";"opioid";"MA";2;1;2;2;   2;  12;10001;       0.0162984;       0.0250000
"total";"opioid";"MI";0;0;3;3;   6;  10;10001;       0.0004000;       0.0166667
"total";"opioid";"MI";1;1;3;3;   4;  10;10001;       0.0005000;       0.0250000
"total";"opioid";"MI";2;2;3;2;   2;  10;10001;       0.1824818;       0.0500000
"total";"opioid";"MN";0;0;3;3;   6;  10;10001;       0.0043996;       0.0166667
"total";"opioid";"MN";1;1;3;1;   4;  10;10001;       0.3403660;       0.0250000
"total";"opioid";"MN";2;1;2;1;   2;  12;10001;       0.3261674;       0.0250000
"total";"opioid";"MS";0;0;3;3;   6;  10;10001;       0.0005999;       0.0166667
"total";"opioid";"MS";1;1;3;3;   4;  10;10001;       0.0031997;       0.0250000
"total";"opioid";"MS";2;2;3;2;   2;  10;10001;       0.0737926;       0.0500000
"total";"opioid";"MO";0;0;3;3;   6;  10;10001;       0.0018998;       0.0166667
"total";"opioid";"MO";1;1;3;1;   4;  10;10001;       0.0916908;       0.0250000
"total";"opioid";"MO";2;1;2;1;   2;  12;10001;       0.4414559;       0.0250000
"total";"opioid";"MT";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"opioid";"MT";1;1;3;1;   4;  10;10001;       0.5700430;       0.0250000
"total";"opioid";"MT";2;1;2;1;   2;  12;10001;       0.3496650;       0.0250000
"total";"opioid";"NE";0;0;3;0;   6;  10;10001;       0.1239876;       0.0166667
"total";"opioid";"NE";1;0;2;0;   4;  12;10001;       0.0831917;       0.0166667
"total";"opioid";"NE";2;0;1;0;   2;  14;10001;       0.0520948;       0.0166667
"total";"opioid";"NV";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"NV";1;1;3;3;   4;  10;10001;       0.0107989;       0.0250000
"total";"opioid";"NV";2;2;3;3;   2;  10;10001;       0.0047995;       0.0500000
"total";"opioid";"NH";0;0;3;3;   6;  10;10001;       0.0036996;       0.0166667
"total";"opioid";"NH";1;1;3;1;   4;  10;10001;       0.1665833;       0.0250000
"total";"opioid";"NH";2;1;2;1;   2;  12;10001;       0.0488951;       0.0250000
"total";"opioid";"NJ";0;0;3;3;   6;  10;10001;       0.0037996;       0.0166667
"total";"opioid";"NJ";1;1;3;1;   4;  10;10001;       0.3901610;       0.0250000
"total";"opioid";"NJ";2;1;2;1;   2;  12;10001;       0.2706729;       0.0250000
"total";"opioid";"NM";0;0;3;0;   6;  10;10001;       0.1549845;       0.0166667
"total";"opioid";"NM";1;0;2;0;   4;  12;10001;       0.4635536;       0.0166667
"total";"opioid";"NM";2;0;1;0;   2;  14;10001;       0.5695430;       0.0166667
"total";"opioid";"NY";0;0;3;3;   6;  10;10001;       0.0063994;       0.0166667
"total";"opioid";"NY";1;1;3;1;   4;  10;10001;       0.0485951;       0.0250000
"total";"opioid";"NY";2;1;2;1;   2;  12;10001;       0.2072793;       0.0250000
"total";"opioid";"NC";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"NC";1;1;3;3;   4;  10;10001;       0.0003000;       0.0250000
"total";"opioid";"NC";2;2;3;3;   2;  10;10001;       0.0276972;       0.0500000
"total";"opioid";"ND";0;0;3;0;   6;  10;10001;       0.0438956;       0.0166667
"total";"opioid";"ND";1;0;2;0;   4;  12;10001;       0.0348965;       0.0166667
"total";"opioid";"ND";2;0;1;0;   2;  14;10001;       0.3815618;       0.0166667
"total";"opioid";"OH";0;0;3;3;   6;  10;10001;       0.0023998;       0.0166667
"total";"opioid";"OH";1;1;3;1;   4;  10;10001;       0.3424658;       0.0250000
"total";"opioid";"OH";2;1;2;1;   2;  12;10001;       0.3750625;       0.0250000
"total";"opioid";"OK";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"OK";1;1;3;1;   4;  10;10001;       0.5718428;       0.0250000
"total";"opioid";"OK";2;1;2;1;   2;  12;10001;       0.3245675;       0.0250000
"total";"opioid";"OR";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"OR";1;1;3;1;   4;  10;10001;       0.5735426;       0.0250000
"total";"opioid";"OR";2;1;2;1;   2;  12;10001;       0.3359664;       0.0250000
"total";"opioid";"PA";0;0;3;3;   6;  10;10001;       0.0007999;       0.0166667
"total";"opioid";"PA";1;1;3;1;   4;  10;10001;       0.4000600;       0.0250000
"total";"opioid";"PA";2;1;2;1;   2;  12;10001;       0.3206679;       0.0250000
"total";"opioid";"RI";0;0;3;0;   6;  10;10001;       0.0414959;       0.0166667
"total";"opioid";"RI";1;0;2;0;   4;  12;10001;       0.0340966;       0.0166667
"total";"opioid";"RI";2;0;1;0;   2;  14;10001;       0.1107889;       0.0166667
"total";"opioid";"SC";0;0;3;0;   6;  10;10001;       0.0613939;       0.0166667
"total";"opioid";"SC";1;0;2;0;   4;  12;10001;       0.0348965;       0.0166667
"total";"opioid";"SC";2;0;1;0;   2;  14;10001;       0.1146885;       0.0166667
"total";"opioid";"SD";0;0;3;3;   6;  10;10001;       0.0131987;       0.0166667
"total";"opioid";"SD";1;1;3;1;   4;  10;10001;       0.4841516;       0.0250000
"total";"opioid";"SD";2;1;2;1;   2;  12;10001;       0.5361464;       0.0250000
"total";"opioid";"TN";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"TN";1;1;3;3;   4;  10;10001;       0.0064994;       0.0250000
"total";"opioid";"TN";2;2;3;2;   2;  10;10001;       0.3196680;       0.0500000
"total";"opioid";"TX";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"TX";1;1;3;1;   4;  10;10001;       0.0673933;       0.0250000
"total";"opioid";"TX";2;1;2;1;   2;  12;10001;       0.1301870;       0.0250000
"total";"opioid";"UT";0;0;3;3;   6;  10;10001;       0.0003000;       0.0166667
"total";"opioid";"UT";1;1;3;1;   4;  10;10001;       0.2927707;       0.0250000
"total";"opioid";"UT";2;1;2;1;   2;  12;10001;       0.4358564;       0.0250000
"total";"opioid";"VT";0;0;3;3;   6;  10;10001;       0.0076992;       0.0166667
"total";"opioid";"VT";1;1;3;3;   4;  10;10001;       0.0131987;       0.0250000
"total";"opioid";"VT";2;2;3;2;   2;  10;10001;       0.1458854;       0.0500000
"total";"opioid";"VA";0;0;3;3;   6;  10;10001;       0.0082992;       0.0166667
"total";"opioid";"VA";1;1;3;1;   4;  10;10001;       0.1436856;       0.0250000
"total";"opioid";"VA";2;1;2;1;   2;  12;10001;       0.0729927;       0.0250000
"total";"opioid";"WA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"opioid";"WA";1;1;3;1;   4;  10;10001;       0.2240776;       0.0250000
"total";"opioid";"WA";2;1;2;1;   2;  12;10001;       0.2868713;       0.0250000
"total";"opioid";"WV";0;0;3;0;   6;  10;10001;       0.2612739;       0.0166667
"total";"opioid";"WV";1;0;2;0;   4;  12;10001;       0.1973803;       0.0166667
"total";"opioid";"WV";2;0;1;0;   2;  14;10001;       0.0568943;       0.0166667
"total";"opioid";"WI";0;0;3;3;   6;  10;10001;       0.0090991;       0.0166667
"total";"opioid";"WI";1;1;3;1;   4;  10;10001;       0.0714929;       0.0250000
"total";"opioid";"WI";2;1;2;1;   2;  12;10001;       0.0524948;       0.0250000
"total";"opioid";"WY";0;0;3;3;   6;  10;10001;       0.0099990;       0.0166667
"total";"opioid";"WY";1;1;3;1;   4;  10;10001;       0.0588941;       0.0250000
"total";"opioid";"WY";2;1;2;1;   2;  12;10001;       0.0726927;       0.0250000
"total";"opioid";"US";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"opioid";"US";1;1;3;3;   4;  10;10001;       0.0007999;       0.0250000
"total";"opioid";"US";2;2;3;2;   2;  10;10001;       0.5393461;       0.0500000
"total";"synth_opioid";"AL";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"synth_opioid";"AL";1;1;3;1;   4;  10;10001;       0.0437956;       0.0250000
"total";"synth_opioid";"AL";2;1;2;1;   2;  12;10001;       0.0884912;       0.0250000
"total";"synth_opioid";"AK";0;0;3;0;   6;  10;10001;       0.0376962;       0.0166667
"total";"synth_opioid";"AK";1;0;2;0;   4;  12;10001;       0.0311969;       0.0166667
"total";"synth_opioid";"AK";2;0;1;0;   2;  14;10001;       0.0905909;       0.0166667
"total";"synth_opioid";"AZ";0;0;3;0;   6;  10;10001;       0.0180982;       0.0166667
"total";"synth_opioid";"AZ";1;0;2;2;   4;  12;10001;       0.0076992;       0.0166667
"total";"synth_opioid";"AZ";2;1;2;2;   2;  12;10001;       0.0205979;       0.0250000
"total";"synth_opioid";"AR";0;0;3;3;   6;  10;10001;       0.0069993;       0.0166667
"total";"synth_opioid";"AR";1;1;3;1;   4;  10;10001;       0.0316968;       0.0250000
"total";"synth_opioid";"AR";2;1;2;1;   2;  12;10001;       0.0585941;       0.0250000
"total";"synth_opioid";"CA";0;0;3;0;   6;  10;10001;       0.0956904;       0.0166667
"total";"synth_opioid";"CA";1;0;2;0;   4;  12;10001;       0.0532947;       0.0166667
"total";"synth_opioid";"CA";2;0;1;0;   2;  14;10001;       0.1101890;       0.0166667
"total";"synth_opioid";"CO";0;0;3;0;   6;  10;10001;       0.2427757;       0.0166667
"total";"synth_opioid";"CO";1;0;2;0;   4;  12;10001;       0.1260874;       0.0166667
"total";"synth_opioid";"CO";2;0;1;0;   2;  14;10001;       0.1456854;       0.0166667
"total";"synth_opioid";"CT";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"CT";1;1;3;1;   4;  10;10001;       0.2443756;       0.0250000
"total";"synth_opioid";"CT";2;1;2;1;   2;  12;10001;       0.2614739;       0.0250000
"total";"synth_opioid";"DE";0;0;3;0;   6;  10;10001;       0.0294971;       0.0166667
"total";"synth_opioid";"DE";1;0;2;2;   4;  12;10001;       0.0089991;       0.0166667
"total";"synth_opioid";"DE";2;1;2;1;   2;  12;10001;       0.7835216;       0.0250000
"total";"synth_opioid";"DC";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"DC";1;1;3;1;   4;  10;10001;       0.8219178;       0.0250000
"total";"synth_opioid";"DC";2;1;2;1;   2;  12;10001;       0.7324268;       0.0250000
"total";"synth_opioid";"FL";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"FL";1;1;3;3;   4;  10;10001;       0.0128987;       0.0250000
"total";"synth_opioid";"FL";2;2;3;2;   2;  10;10001;       0.0814919;       0.0500000
"total";"synth_opioid";"GA";0;0;3;0;   6;  10;10001;       0.0809919;       0.0166667
"total";"synth_opioid";"GA";1;0;2;0;   4;  12;10001;       0.0483952;       0.0166667
"total";"synth_opioid";"GA";2;0;1;0;   2;  14;10001;       0.0371963;       0.0166667
"total";"synth_opioid";"HI";0;0;3;0;   6;  10;10001;       0.0201980;       0.0166667
"total";"synth_opioid";"HI";1;0;2;0;   4;  12;10001;       0.0211979;       0.0166667
"total";"synth_opioid";"HI";2;0;1;0;   2;  14;10001;       0.4430557;       0.0166667
"total";"synth_opioid";"ID";0;0;3;0;   6;  10;10001;       0.6436356;       0.0166667
"total";"synth_opioid";"ID";1;0;2;0;   4;  12;10001;       0.6471353;       0.0166667
"total";"synth_opioid";"ID";2;0;1;0;   2;  14;10001;       0.3854615;       0.0166667
"total";"synth_opioid";"IL";0;0;3;3;   6;  10;10001;       0.0021998;       0.0166667
"total";"synth_opioid";"IL";1;1;3;3;   4;  10;10001;       0.0157984;       0.0250000
"total";"synth_opioid";"IL";2;2;3;2;   2;  10;10001;       0.1567843;       0.0500000
"total";"synth_opioid";"IN";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"IN";1;1;3;3;   4;  10;10001;       0.0005000;       0.0250000
"total";"synth_opioid";"IN";2;2;3;2;   2;  10;10001;       0.6872313;       0.0500000
"total";"synth_opioid";"IA";0;0;3;3;   6;  10;10001;       0.0153985;       0.0166667
"total";"synth_opioid";"IA";1;1;3;1;   4;  10;10001;       0.0265973;       0.0250000
"total";"synth_opioid";"IA";2;1;2;2;   2;  12;10001;       0.0081992;       0.0250000
"total";"synth_opioid";"KS";0;0;3;0;   6;  10;10001;       0.5588441;       0.0166667
"total";"synth_opioid";"KS";1;0;2;0;   4;  12;10001;       0.4318568;       0.0166667
"total";"synth_opioid";"KS";2;0;1;0;   2;  14;10001;       0.2074793;       0.0166667
"total";"synth_opioid";"KY";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"KY";1;1;3;1;   4;  10;10001;       0.5981402;       0.0250000
"total";"synth_opioid";"KY";2;1;2;1;   2;  12;10001;       0.3603640;       0.0250000
"total";"synth_opioid";"LA";0;0;3;3;   6;  10;10001;       0.0043996;       0.0166667
"total";"synth_opioid";"LA";1;1;3;1;   4;  10;10001;       0.8823118;       0.0250000
"total";"synth_opioid";"LA";2;1;2;1;   2;  12;10001;       0.6286371;       0.0250000
"total";"synth_opioid";"ME";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"ME";1;1;3;1;   4;  10;10001;       0.5063494;       0.0250000
"total";"synth_opioid";"ME";2;1;2;1;   2;  12;10001;       0.9116088;       0.0250000
"total";"synth_opioid";"MD";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"MD";1;1;3;1;   4;  10;10001;       0.3125687;       0.0250000
"total";"synth_opioid";"MD";2;1;2;1;   2;  12;10001;       0.2273773;       0.0250000
"total";"synth_opioid";"MA";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"synth_opioid";"MA";1;1;3;1;   4;  10;10001;       0.2333767;       0.0250000
"total";"synth_opioid";"MA";2;1;2;1;   2;  12;10001;       0.1218878;       0.0250000
"total";"synth_opioid";"MI";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"MI";1;1;3;3;   4;  10;10001;       0.0096990;       0.0250000
"total";"synth_opioid";"MI";2;2;3;2;   2;  10;10001;       0.3425657;       0.0500000
"total";"synth_opioid";"MN";0;0;3;3;   6;  10;10001;       0.0019998;       0.0166667
"total";"synth_opioid";"MN";1;1;3;3;   4;  10;10001;       0.0057994;       0.0250000
"total";"synth_opioid";"MN";2;2;3;2;   2;  10;10001;       0.7610239;       0.0500000
"total";"synth_opioid";"MS";0;0;3;3;   6;  10;10001;       0.0005000;       0.0166667
"total";"synth_opioid";"MS";1;1;3;3;   4;  10;10001;       0.0003000;       0.0250000
"total";"synth_opioid";"MS";2;2;3;3;   2;  10;10001;       0.0016998;       0.0500000
"total";"synth_opioid";"MO";0;0;3;3;   6;  10;10001;       0.0007999;       0.0166667
"total";"synth_opioid";"MO";1;1;3;1;   4;  10;10001;       0.0651935;       0.0250000
"total";"synth_opioid";"MO";2;1;2;1;   2;  12;10001;       0.0681932;       0.0250000
"total";"synth_opioid";"MT";0;0;3;3;   6;  10;10001;       0.0089991;       0.0166667
"total";"synth_opioid";"MT";1;1;3;1;   4;  10;10001;       0.4008599;       0.0250000
"total";"synth_opioid";"MT";2;1;2;1;   2;  12;10001;       0.2461754;       0.0250000
"total";"synth_opioid";"NE";0;0;3;0;   6;  10;10001;       0.1986801;       0.0166667
"total";"synth_opioid";"NE";1;0;2;0;   4;  12;10001;       0.4194581;       0.0166667
"total";"synth_opioid";"NE";2;0;1;0;   2;  14;10001;       0.7150285;       0.0166667
"total";"synth_opioid";"NV";0;0;3;0;   6;  10;10001;       0.0520948;       0.0166667
"total";"synth_opioid";"NV";1;0;2;0;   4;  12;10001;       0.0725927;       0.0166667
"total";"synth_opioid";"NV";2;0;1;0;   2;  14;10001;       0.6660334;       0.0166667
"total";"synth_opioid";"NH";0;0;3;3;   6;  10;10001;       0.0032997;       0.0166667
"total";"synth_opioid";"NH";1;1;3;1;   4;  10;10001;       0.6238376;       0.0250000
"total";"synth_opioid";"NH";2;1;2;1;   2;  12;10001;       0.4413559;       0.0250000
"total";"synth_opioid";"NJ";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"NJ";1;1;3;1;   4;  10;10001;       0.5261474;       0.0250000
"total";"synth_opioid";"NJ";2;1;2;1;   2;  12;10001;       0.3902610;       0.0250000
"total";"synth_opioid";"NM";0;0;3;0;   6;  10;10001;       0.0275972;       0.0166667
"total";"synth_opioid";"NM";1;0;2;2;   4;  12;10001;       0.0114989;       0.0166667
"total";"synth_opioid";"NM";2;1;2;1;   2;  12;10001;       0.7130287;       0.0250000
"total";"synth_opioid";"NY";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"NY";1;1;3;1;   4;  10;10001;       0.0836916;       0.0250000
"total";"synth_opioid";"NY";2;1;2;1;   2;  12;10001;       0.0857914;       0.0250000
"total";"synth_opioid";"NC";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"NC";1;1;3;3;   4;  10;10001;       0.0015998;       0.0250000
"total";"synth_opioid";"NC";2;2;3;2;   2;  10;10001;       0.0952905;       0.0500000
"total";"synth_opioid";"ND";0;0;3;0;   6;  10;10001;       0.0655934;       0.0166667
"total";"synth_opioid";"ND";1;0;2;0;   4;  12;10001;       0.0453955;       0.0166667
"total";"synth_opioid";"ND";2;0;1;0;   2;  14;10001;       0.0638936;       0.0166667
"total";"synth_opioid";"OH";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"OH";1;1;3;1;   4;  10;10001;       0.4635536;       0.0250000
"total";"synth_opioid";"OH";2;1;2;1;   2;  12;10001;       0.1978802;       0.0250000
"total";"synth_opioid";"OK";0;0;3;3;   6;  10;10001;       0.0051995;       0.0166667
"total";"synth_opioid";"OK";1;1;3;1;   4;  10;10001;       0.1223878;       0.0250000
"total";"synth_opioid";"OK";2;1;2;1;   2;  12;10001;       0.3425657;       0.0250000
"total";"synth_opioid";"OR";0;0;3;0;   6;  10;10001;       0.2424758;       0.0166667
"total";"synth_opioid";"OR";1;0;2;0;   4;  12;10001;       0.1960804;       0.0166667
"total";"synth_opioid";"OR";2;0;1;0;   2;  14;10001;       0.1439856;       0.0166667
"total";"synth_opioid";"PA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"PA";1;1;3;3;   4;  10;10001;       0.0217978;       0.0250000
"total";"synth_opioid";"PA";2;2;3;2;   2;  10;10001;       0.4213579;       0.0500000
"total";"synth_opioid";"RI";0;0;3;3;   6;  10;10001;       0.0003000;       0.0166667
"total";"synth_opioid";"RI";1;1;3;1;   4;  10;10001;       0.0279972;       0.0250000
"total";"synth_opioid";"RI";2;1;2;1;   2;  12;10001;       0.2347765;       0.0250000
"total";"synth_opioid";"SC";0;0;3;3;   6;  10;10001;       0.0015998;       0.0166667
"total";"synth_opioid";"SC";1;1;3;1;   4;  10;10001;       0.2246775;       0.0250000
"total";"synth_opioid";"SC";2;1;2;1;   2;  12;10001;       0.0946905;       0.0250000
"total";"synth_opioid";"SD";0;0;3;0;   6;  10;10001;       0.4906509;       0.0166667
"total";"synth_opioid";"SD";1;0;2;0;   4;  12;10001;       0.4205579;       0.0166667
"total";"synth_opioid";"SD";2;0;1;0;   2;  14;10001;       0.6642336;       0.0166667
"total";"synth_opioid";"TN";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"TN";1;1;3;3;   4;  10;10001;       0.0008999;       0.0250000
"total";"synth_opioid";"TN";2;2;3;2;   2;  10;10001;       0.2015798;       0.0500000
"total";"synth_opioid";"TX";0;0;3;0;   6;  10;10001;       0.0773923;       0.0166667
"total";"synth_opioid";"TX";1;0;2;0;   4;  12;10001;       0.0960904;       0.0166667
"total";"synth_opioid";"TX";2;0;1;0;   2;  14;10001;       0.2544746;       0.0166667
"total";"synth_opioid";"UT";0;0;3;0;   6;  10;10001;       0.2459754;       0.0166667
"total";"synth_opioid";"UT";1;0;2;0;   4;  12;10001;       0.1146885;       0.0166667
"total";"synth_opioid";"UT";2;0;1;0;   2;  14;10001;       0.0353965;       0.0166667
"total";"synth_opioid";"VT";0;0;3;3;   6;  10;10001;       0.0011999;       0.0166667
"total";"synth_opioid";"VT";1;1;3;3;   4;  10;10001;       0.0146985;       0.0250000
"total";"synth_opioid";"VT";2;2;3;2;   2;  10;10001;       0.4961504;       0.0500000
"total";"synth_opioid";"VA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"VA";1;1;3;1;   4;  10;10001;       0.1156884;       0.0250000
"total";"synth_opioid";"VA";2;1;2;1;   2;  12;10001;       0.4204580;       0.0250000
"total";"synth_opioid";"WA";0;0;3;0;   6;  10;10001;       0.1454855;       0.0166667
"total";"synth_opioid";"WA";1;0;2;0;   4;  12;10001;       0.1678832;       0.0166667
"total";"synth_opioid";"WA";2;0;1;0;   2;  14;10001;       0.1467853;       0.0166667
"total";"synth_opioid";"WV";0;0;3;3;   6;  10;10001;       0.0005999;       0.0166667
"total";"synth_opioid";"WV";1;1;3;1;   4;  10;10001;       0.2169783;       0.0250000
"total";"synth_opioid";"WV";2;1;2;1;   2;  12;10001;       0.0831917;       0.0250000
"total";"synth_opioid";"WI";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"synth_opioid";"WI";1;1;3;1;   4;  10;10001;       0.0973903;       0.0250000
"total";"synth_opioid";"WI";2;1;2;2;   2;  12;10001;       0.0192981;       0.0250000
"total";"synth_opioid";"WY";0;0;3;0;   6;  10;10001;       0.3539646;       0.0166667
"total";"synth_opioid";"WY";1;0;2;0;   4;  12;10001;       0.3696630;       0.0166667
"total";"synth_opioid";"WY";2;0;1;0;   2;  14;10001;       0.1727827;       0.0166667
"total";"synth_opioid";"US";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
